head,pct_retained,sens_p0.1,spec_p0.1,sens_p0.2,spec_p0.2,sens_p0.5,spec_p0.5
l23_h6,0.01575,0.29523809523809524,0.9670307340614681,0.23809523809523808,0.9800355600711201,0.17142857142857143,0.9936499872999746
l23_h7,0.1193,0.6387259010896899,0.6933121380719882,0.44174350377200333,0.8433632337913024,0.1601005867560771,0.9666742364028613
l24_h0,0.01045,0.6363636363636364,0.9870142994290334,0.5741626794258373,0.9891870041938254,0.3062200956937799,0.9936839977767672
l24_h1,0.0274,0.27007299270072993,0.9827267119062307,0.2281021897810219,0.9866337651655357,0.16423357664233576,0.9907464528069093
l24_h2,0.06765,0.376940133037694,0.9139271732718399,0.31929046563192903,0.9333941116533491,0.22394678492239467,0.9560250978709712
l24_h3,0.11935,0.6455802262253875,0.7765287003917561,0.47297863426895687,0.8723670016465112,0.1960620025136154,0.9615624822574235
l24_h4,0.0063,0.29365079365079366,0.9986414410787964,0.29365079365079366,0.9986414410787964,0.0,1.0
l24_h5,0.08555,0.5184102863822326,0.8291869429711849,0.39333722969023965,0.8935425665700695,0.24254821741671537,0.9551096287385861
l24_h6,0.09045,0.4295190713101161,0.816227804958496,0.3200663349917081,0.8804903523720521,0.18352681039248203,0.9455225111318784
l24_h7,0.09355,0.6483164083377873,0.8437861989078272,0.48102618920363444,0.9114126537591704,0.17958311063602353,0.9753433724971041
l25_h0,0.02165,0.3625866050808314,0.9810395052895181,0.3071593533487298,0.9850769152143916,0.20554272517321015,0.9912096897838197
l25_h1,0.0186,0.7473118279569892,0.9745771347055228,0.6532258064516129,0.9839005502343591,0.3817204301075269,0.9936824943957612
l25_h2,0.0874,0.4302059496567506,0.891190006574622,0.35755148741418763,0.9186938417707649,0.244279176201373,0.9510738549200087
l25_h3,0.0983,0.6205493387589013,0.8421869801486082,0.47761953204476093,0.9090052123766219,0.2273652085452696,0.971830985915493
l25_h4,0.1441,0.703678001387925,0.6562682556373408,0.5145732130464955,0.806285781049188,0.20055517002081888,0.9535576586049772
l25_h5,0.1044,0.4794061302681992,0.8157101384546672,0.36159003831417624,0.8873939258597588,0.19636015325670497,0.9510384100044663
l25_h6,0.0779,0.5539152759948652,0.8447023099446914,0.4313222079589217,0.9032100639843835,0.25866495507060333,0.9598199761414163
l25_h7,0.0446,0.45067264573991034,0.9358383922964203,0.3834080717488789,0.9568243667573791,0.22533632286995517,0.9785953527318401
l26_h0,0.07185,0.5511482254697286,0.8630609276517804,0.43145441892832287,0.9184399073425632,0.232428670842032,0.9692398857943221
l26_h1,0.09505,0.5791688584955287,0.7781645394773192,0.41820094687006837,0.8801038731421625,0.1846396633350868,0.9639206585999226
l26_h2,0.0833,0.5018007202881153,0.8710592342096651,0.39615846338535415,0.9145303807134286,0.24489795918367346,0.9603468964764917
l26_h3,0.0824,0.6043689320388349,0.8442131647776809,0.4544902912621359,0.9067131647776809,0.18021844660194175,0.9739537925021796
l26_h4,0.08705,0.44514646754738657,0.8404622378005367,0.3429063756461804,0.8958869598554138,0.2010338885697875,0.9556930828632455
l26_h5,0.0191,0.6230366492146597,0.9801712712814762,0.5471204188481675,0.9854215516362524,0.4005235602094241,0.992455907839739
l26_h6,0.00495,0.3838383838383838,0.997939802019999,0.3838383838383838,0.9980905482136576,0.3838383838383838,0.9984925380634139
l26_h7,0.0889,0.5562429696287964,0.8203270771594775,0.4392575928008999,0.8820656349467676,0.24859392575928008,0.9499506091537702
l27_h0,0.0019,1.0,0.9986474301172227,1.0,0.9986474301172227,0.5526315789473685,0.9993988578298768
l27_h1,0.00185,1.0,0.9986474978710614,1.0,0.9986474978710614,1.0,0.9986474978710614
